id,name,code,category_id/id,struct_id/id,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,amount_percentage_base,amount_python_compute,quantity,amount_percentage,amount_fix,appears_on_payslip,note,not_remunerate,benefit_calculate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,apply_other_rules,apply_in
__export__.hr_salary_rule_bits_29,BONO EXTRALEGAL,318,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,20,non_const,,Always True,Fixed Amount,1,,,1,,29,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_30,COMISIONES,321,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,21,is_const,,Always True,Fixed Amount,1,,,1,,30,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_31,DESCUENTO ANTICIPO SALARIO,3304,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_03,128,,,Always True,Fixed Amount,1,,,1,-100,31,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_32,OTROS DESCUENTOS,3305,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_03,129,,,Always True,Fixed Amount,1,,,1,-100,32,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_38,VACACIONES EN DINERO,147,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,17,is_const,,Always True,percentage,1,contract.wage/30,,1,100,6,True,(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones compensados (esta concepto aplica solo cuando el empleado los solicita que se le paguen o cuando se retira ,,,True,-1,True,100,100,,,work_days,,,
__export__.hr_salary_rule_sum_ibc_1,Suma IBC,suma-ibc,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_03,5,,False,none,percentage,1,0,,1,100,0,True,,False,,False,-1,False,100,100,0,False,none,False,3010302,total
__export__.hr_salary_rule_sum_ibc_2,Resta IBC,resta-ibc,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_03,5,,False,none,percentage,1,0,,1,-100,0,True,,False,,False,-1,False,100,100,0,False,none,False,3010302,total
__export__.hr_salary_rule_bits_10,APORTE VOLUNTARIO FDP,3026,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,112,,,Always True,Fixed Amount,1,,,1,-100,10,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_11,APORTES AFC,3031,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,113,,,Always True,Fixed Amount,1,,,1,-100,11,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_12,MEDICINA COLMEDICA,3034,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,114,,,Always True,Fixed Amount,1,,,1,-100,12,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_13,DAVIVIENDA,3035,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,115,,,Always True,Fixed Amount,1,,,1,-100,13,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_14,OPTICAS RINCON,3036,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,116,,,Always True,Fixed Amount,1,,,1,-100,14,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_15,OPEN ENGLISH,3059,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,117,,,Always True,Fixed Amount,1,,,1,-100,15,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_16,ENGLISH LIVE,3060,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,118,,,Always True,Fixed Amount,1,,,1,-100,16,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_17,PRESTAMO EDUCACION,3306,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,119,,,Always True,Fixed Amount,1,,,1,-100,17,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_18,LIBRANZA COMFENALCO,3322,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,120,,,Always True,Fixed Amount,1,,,1,-100,18,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_19,LIBRANZA COMPENSAR,3323,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,121,,,Always True,Fixed Amount,1,,,1,-100,19,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_20,LIBRANZA EMPRESA,3325,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,122,,,Always True,Fixed Amount,1,,,1,-100,20,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_21,RECORDAR,3326,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,123,,,Always True,Fixed Amount,1,,,1,-100,21,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_22,LIBRANZA BANCOLOMBIA,3327,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,124,,,Always True,Fixed Amount,1,,,1,-100,22,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_23,DESCUENTO GIMNASIO,3329,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,125,,,Always True,Fixed Amount,1,,,1,-100,23,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_24,FONI,3332,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,126,,,Always True,Fixed Amount,1,,,1,-100,24,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_25,COMPUTADOR,3333,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_04,127,,,Always True,Fixed Amount,1,,,1,-100,25,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_01,SUBSIDIO DE TRANSPORTE,120,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_employee_01,26,none,,python,fix,result = contract.wage < (contract.company_id.basic_salary) * 2,,,worked_days.WORK100 and worked_days.WORK100.number_of_days,,3428.46,True,Auxilio por los dias laborados. Se cancela a las personas que devenguen hasta 2 smlv (1755606),,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_02,AUXILIO NO PRESTACIONAL ALIMENTACION,237,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_employee_01,2,non_const,,Always True,percentage,1,0,,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_03,AUXILIO NO PRESTACIONAL RODAMIENTO,239,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_employee_01,3,non_const,,Always True,percentage,1,0,,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_04,APORTE SALUD,3010,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_employee_01,180,none,True,Always True,percentage,1,payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,100,40,True,none,,,
__export__.hr_salary_rule_basic_05,APORTE PENSION,3020,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_employee_01,180,none,True,Always True,percentage,1,payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,100,40,True,none,,,
__export__.hr_salary_rule_basic_06,APORTE FONDO SOLIDARIDAD,3023,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_employee_01,170,none,True,Always True,percentage,1,4 * (contract.company_id.basic_salary),,0,-1,28,True,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,100,40,True,none,,,
__export__.hr_salary_rule_basic_14,SALARIO BÁSICO,BASIC,hr_payroll.BASIC,hr_payroll_structure_employee_01,1,is_const,,Always True,percentage,1,contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_employer_01,PENSIÓN EMPLEADOR,PENS,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_01,300,none,True,Always True,percentage,1,1,,1,12,1,False,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393. si se paga vacaciones anticipadas en ese mes no se cancela el aporte) tarifa 12%,,,False,,,100,100,40,True,none,,,
__export__.hr_salary_rule_employer_06,ARL,ARL,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_01,300,none,True,Always True,percentage,5,1,,1,522,,False,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393.) pero de los días laborados. Tarifa 0.522%,,,False,,,100,100,40,True,none,True,,
__export__.hr_salary_rule_employer_10,CAJA,CAJA,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_01,300,none,True,Always True,percentage,9,1,,1,4,,False,(pagos salariales constitutivos recibidos en el mes) se debe tener en cuenta los pago de vacaciones anticipadas . Tarifa 4%,,,False,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_07,AUXILIO NO PRESTACIONAL ALIMENTACION,237,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_employee_02,2,non_const,,Always True,percentage,1,0,,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_08,AUXILIO NO PRESTACIONAL RODAMIENTO,239,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_employee_02,3,non_const,,Always True,percentage,1,0,,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_09,APORTE SALUD,3010,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_employee_02,180,none,True,Always True,percentage,1,payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,70,40,True,none,,,
__export__.hr_salary_rule_basic_10,APORTE PENSION,3020,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_employee_02,180,none,True,Always True,percentage,1,payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,70,40,True,none,,,
__export__.hr_salary_rule_basic_11,APORTE FONDO SOLIDARIDAD,3023,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_employee_02,170,none,True,Always True,percentage,1,4 * (contract.company_id.basic_salary),,0,-1,28,True,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,70,40,True,none,,,
__export__.hr_salary_rule_basic_15,SALARIO INTEGRAL,BASIC,hr_payroll.BASIC,hr_payroll_structure_employee_02,1,is_const,,Always True,percentage,1,contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo integral / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_employer_02,PENSIÓN EMPLEADOR,PENS,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_02,300,none,True,Always True,percentage,1,1,,1,12,1,False,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393. si se paga vacaciones anticipadas en ese mes no se cancela el aporte) tarifa 12%,,,False,,,100,70,40,True,none,,,
__export__.hr_salary_rule_employer_03,SALUD EMPLEADOR,SALU,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_02,300,none,True,Always True,percentage,result = contract.wage > (877803) * 10,1,,1,8.5,,False,"solo aplica para integrales, sena y sueldos mayores a 10 smlv, para el salario integral sobre el 70% del sueldo constitutivo de salario. Tarifa del 8.5%",,,False,,,100,70,40,True,none,,,
__export__.hr_salary_rule_employer_07,ARL,ARL,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_02,300,none,True,Always True,percentage,6,1,,1,522,,False,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393.) pero de los días laborados. Tarifa 0.522%,,,False,,,100,70,40,True,none,True,,
__export__.hr_salary_rule_employer_11,CAJA,CAJA,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_02,300,none,True,Always True,percentage,10,1,,1,4,,False,(pagos salariales constitutivos recibidos en el mes) se debe tener en cuenta los pago de vacaciones anticipadas . Tarifa 4%,,,False,,,70,100,,,none,,,
__export__.hr_salary_rule_employer_12,ICBF,ICBF,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_02,300,none,True,Always True,percentage,result = contract.wage > (877803) * 10,1,,1,3,,False,solo aplica para integrales y sueldos mayores a 10 smlv. Tarifa del 3%,,,False,,,70,100,,,none,,,
__export__.hr_salary_rule_employer_13,SENA,SENA,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_02,300,none,True,Always True,percentage,result = contract.wage > (877803) * 10,1,,1,2,,False,solo aplica para integrales y sueldos mayores a 10 smlv. Tarifa del 2%,,,False,,,70,100,,,none,,,
__export__.hr_salary_rule_basic_16,APOYO SOSTENIMIENTO ELECTIVA,BASIC,hr_payroll.BASIC,hr_payroll_structure_employee_03,1,is_const,,Always True,percentage,1,contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,cuota / 30 X 30 o numero de dias desde la fecha de ingreso o retiro,,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_employer_04,SALUD EMPLEADOR,SALU,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_03,300,none,,Always True,percentage,1,(contract.company_id.basic_salary/30) * (worked_days.WORK100 and worked_days.WORK100.number_of_days),100,1,12.5,,False,"solo aplica para integrales, sena y sueldos mayores a 10 smlv, para el sena es sobre el smlv con tarifa del 12.5%",,,False,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_13,SUBSIDIO DE CONECTIVIDAD,120,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_employee_04,34,none,,python,fix,result = (contract.wage + payslip.commission) < (contract.company_id.basic_salary) * 2,,,worked_days.WORK100 and worked_days.WORK100.number_of_days,,3548.47,True,Auxilio por los dias laborados. Se cancela a las personas que devenguen hasta 2 smlv (1755606),,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_basic_17,APOYO SOSTENIMIENTO PRACTICA,BASIC,hr_payroll.BASIC,hr_payroll_structure_employee_04,1,is_const,,Always True,percentage,1,contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,cuota / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_employer_05,SALUD EMPLEADOR,SALU,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_04,300,none,,Always True,percentage,1,(contract.company_id.basic_salary/30) * (worked_days.WORK100 and worked_days.WORK100.number_of_days),100,1,12.5,,False,"solo aplica para integrales, sena y sueldos mayores a 10 smlv, para el sena es sobre el smlv con tarifa del 12.5%",,,False,,,100,100,,,none,,,
__export__.hr_salary_rule_employer_09,ARL,ARL,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_employee_04,300,none,,Always True,percentage,1,(contract.company_id.basic_salary/30) * (worked_days.WORK100 and worked_days.WORK100.number_of_days),100,1,0.522,,False,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393.) pero de los días laborados. Tarifa 0.522%,,,False,,,100,100,,,none,,,
__export__.hr_salary_rule_sum_ibc_3,SUMA ANTICIPOS VAC IBC,ANT-IBC,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_03,5,,False,none,percentage,1,0,,1,100,0,True,"Esta regla aplica para agregar los valores pendientes en ajustar IBC parafiscales, ARL-PENS-SALUD",False,,,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_102,Anticipo de devengo ,ANI,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,5,,FALSE,Always True,fix,1,,,1,100,0,TRUE,,0,Todos,TRUE,1,FALSE,100,100,0,0,Todos,0,,
__export__.hr_salary_rule_bits_105,Anticipo de Deducciones four,ANT,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_03,5,,FALSE,Always True,fix,1,,,1,-100,0,TRUE,,0,Todos,TRUE,1,FALSE,100,100,0,0,Todos,0,,
__export__.hr_salary_rule_bits_106,Bonificación retiro NS,'286’,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,19,none,FALSE,Always True,fix,1,,,1,0,28,TRUE,$$ dado por Novedad ,FALSE,,TRUE,0,FALSE,100,100,0,0,Todos,0,,
__export__.hr_salary_rule_bits_107,PRIMA LEGAL SEMESTRE 2,BASIC,hr_payroll.BASIC,bits_hr_payroll_news.hr_payroll_structure_premium_02,130,,FALSE,Always True,percentage,1,"provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=2)",,1,100,0,TRUE,,FALSE,,TRUE,0,FALSE,0,0,0,0,Todos,0,,
__export__.hr_salary_rule_bits_108,BONO PRIMA LEGAL SEMESTRE 2,B130,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_premium_02,130,,FALSE,Always True,percentage,1,"payslip.env['hr.payslip'].get_premium_bonus(payslip.date_to, payslip.employee_id, payslip.contract_id,""half_year_2"")",,1,100,0,TRUE,,FALSE,,TRUE,0,FALSE,0,0,0,0,Todos,0,,
__export__.hr_salary_rule_bits_109,RETENCIÓN EN LA FUENTE,3008,hr_payroll_employee_retention.category_retentions_01,bits_hr_payroll_news.hr_payroll_structure_premium_02,400,,FALSE,Always True,percentage,1,"retention.compute_employee_retention('2020-1',from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,0,TRUE,,FALSE,,TRUE,0,FALSE,0,0,0,0,Todos,0,,
__export__.hr_salary_rule_bits_110,SUBSIDIO DE CONECTIVIDAD,120,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_premium_02,26,none,,python,fix,result = (contract.wage + payslip.commission) < (contract.company_id.basic_salary) * 2,,,worked_days.WORK100 and worked_days.WORK100.number_of_days,,3548.47,FALSE,Auxilio por los dias laborados. Se cancela a las personas que devenguen hasta 2 smlv (1755606),,none,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_111,AJUSTE PRIMA LEGAL SEMESTRE 2,130-A,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,140,,,python,percentage,month = 12 result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month),payslip.env['hr.payslip'].get_premium_value_fix(payslip),,1,100,0,TRUE,,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_112,BONO PRIMA LEGAL SEMESTRE 2,130-B,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,Always True,percentage,1,"payslip.env['hr.payslip'].get_premium_bonus(payslip.date_to, payslip.employee_id, payslip.contract_id,""half_year_2"")",,1,100,0,TRUE,,,,False,,,100,100,,,none,,,
